StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28
23/01/2021 11:21,23/01/2021 11:34,0,100,783,1,23/01/2021 11:34,R_1NEL85sidTYbwTx,anonymous,EN,4,2,6,6,3,7,7,7,7,5,4,2,7,7,6,7,6,6,2,1,7,0,6,2,2,2,2,2,2,2,2,2,2,2,2,65,7,1,6
23/01/2021 11:32,23/01/2021 11:45,0,100,743,1,23/01/2021 11:45,R_1mfqoTkyMLOvxLX,anonymous,EN,4,2,5,6,6,7,4,6,7,1,2,7,7,1,6,6,6,7,1,2,6,5,6,1,1,1,1,1,2,2,2,1,2,1,6,65,7,5,5
23/01/2021 11:41,23/01/2021 11:53,0,100,691,1,23/01/2021 11:53,R_1DHGAzToivNbQL0,anonymous,EN,4,4,5,5,6,6,6,6,6,2,7,6,7,3,5,6,6,6,4,6,6,7,5,1,1,1,1,1,1,1,2,2,2,2,3,65,8,1,6
23/01/2021 11:43,23/01/2021 12:00,0,100,1005,1,23/01/2021 12:00,R_xEoRUUfzSQyGKCR,anonymous,EN,4,2,4,6,7,2,7,6,6,3,6,5,6,6,6,6,4,4,3,3,6,4,4,1,1,1,1,1,1,1,2,2,2,1,3,65,8,1,6
23/01/2021 12:05,23/01/2021 12:14,0,100,571,1,23/01/2021 12:14,R_YPQ1EPXbZup8akx,anonymous,EN,4,4,5,5,3,6,6,6,6,3,7,6,6,2,5,6,3,7,5,2,7,3,5,1,1,1,1,2,2,2,2,2,2,2,3,65,8,1,5
23/01/2021 12:09,23/01/2021 12:15,0,100,354,1,23/01/2021 12:15,R_2YCVDbpFCL1yWGI,anonymous,EN,4,4,5,6,6,7,5,6,2,6,2,7,5,3,7,6,2,7,2,2,7,6,5,2,2,2,2,2,2,2,2,2,2,2,3,169,7,1,6
23/01/2021 12:05,23/01/2021 12:16,0,100,650,1,23/01/2021 12:16,R_SQ6p1mU9l4uKnL3,anonymous,EN,4,2,6,5,7,5,6,2,5,2,6,5,6,6,2,3,4,0,3,2,0,5,5,1,1,1,1,1,1,2,2,2,2,2,3,95,8,1,3
23/01/2021 12:08,23/01/2021 12:20,0,100,734,1,23/01/2021 12:20,R_2Xoo628fJX0og1x,anonymous,EN,4,2,6,6,6,6,6,6,7,6,3,7,6,5,6,6,3,6,3,2,6,5,5,1,1,1,1,1,1,1,2,2,2,1,3,65,6,2,6
23/01/2021 12:21,23/01/2021 12:38,0,100,1029,1,23/01/2021 12:38,R_3G9vrMfxjCEEUyF,anonymous,EN,4,4,6,5,6,2,4,4,2,5,6,6,6,1,4,7,5,5,2,4,4,6,5,1,1,1,1,1,1,1,1,1,2,2,4,65,7,2,5
23/01/2021 12:45,23/01/2021 12:55,0,100,557,1,23/01/2021 12:55,R_3MmxN3mWFDejRPn,anonymous,EN,4,2,5,6,4,4,2,7,3,6,4,6,2,2,6,7,6,6,4,4,6,4,6,1,1,1,1,1,1,1,1,2,2,2,3,65,7,1,5
23/01/2021 12:56,23/01/2021 13:10,0,100,823,1,23/01/2021 13:10,R_1E5vDvXCQJB6HnC,anonymous,EN,4,2,6,6,7,5,6,7,7,3,6,6,6,7,4,6,6,6,4,3,4,4,6,1,1,1,2,2,2,2,2,2,2,2,3,65,7,1,5
23/01/2021 13:12,23/01/2021 13:21,0,100,545,1,23/01/2021 13:21,R_2SeiVityDxRnAyH,anonymous,EN,4,5,6,2,6,2,6,5,6,5,6,3,7,2,4,5,5,5,6,4,4,5,5,1,1,1,1,1,1,1,1,2,2,1,4,9,6,2,5
23/01/2021 12:23,23/01/2021 13:38,0,100,4490,1,23/01/2021 13:38,R_3MLp192OG9ZoGwl,anonymous,EN,4,4,5,5,2,6,7,2,5,4,5,4,3,7,3,4,0,4,3,3,4,2,5,1,1,1,1,1,1,1,1,1,2,2,4,65,4,1,5
23/01/2021 13:38,23/01/2021 13:52,0,100,818,1,23/01/2021 13:52,R_32JzsfnOESJcG5t,anonymous,EN,4,2,6,6,7,7,6,7,7,7,7,5,7,6,7,6,0,6,2,3,6,6,6,2,2,2,2,2,2,2,2,2,2,2,3,9,6,1,6
23/01/2021 13:46,23/01/2021 13:54,0,100,454,1,23/01/2021 13:54,R_Ra7r5edVm0bgPLj,anonymous,EN,4,4,7,6,7,5,6,6,6,6,6,7,7,5,6,7,5,6,2,3,6,6,6,1,1,1,2,2,2,2,2,2,2,2,3,9,7,1,6
23/01/2021 13:54,23/01/2021 14:09,0,100,876,1,23/01/2021 14:09,R_eh7muPhXhxBbL4B,anonymous,EN,4,4,5,6,7,5,6,6,7,6,6,4,7,2,5,6,6,5,2,3,6,2,5,1,1,1,1,1,2,2,2,2,2,2,3,65,7,1,6
23/01/2021 14:05,23/01/2021 14:22,0,100,1035,1,23/01/2021 14:22,R_Zgzd09fCzfufAvn,anonymous,EN,4,2,5,6,7,2,6,5,6,3,6,4,6,6,2,5,4,5,4,4,3,3,3,1,1,1,1,2,2,2,2,2,2,2,3,65,7,1,5
23/01/2021 14:15,23/01/2021 14:27,0,100,752,1,23/01/2021 14:27,R_1pSEfpHzgNaguyI,anonymous,EN,4,4,6,4,6,2,7,5,6,6,4,6,7,1,4,5,4,5,1,2,4,3,2,1,1,1,1,1,1,1,2,2,2,1,3,9,5,2,6
23/01/2021 14:11,23/01/2021 14:30,0,100,1148,1,23/01/2021 14:30,R_89e5WeJdk3MuEvv,anonymous,EN,4,5,3,5,2,6,2,6,5,6,2,7,4,5,7,7,4,6,3,4,6,5,6,1,1,1,1,2,2,2,2,2,2,1,2,101,6,1,5
23/01/2021 14:37,23/01/2021 14:46,0,100,548,1,23/01/2021 14:46,R_2WGemYEjmiCxwi1,anonymous,EN,4,2,7,5,7,2,7,5,6,6,6,6,7,1,5,5,0,3,6,3,2,0,3,1,1,1,1,1,1,1,2,2,2,2,3,65,7,4,4
23/01/2021 14:41,23/01/2021 14:51,0,100,636,1,23/01/2021 14:51,R_29hISOwIBoSESna,anonymous,EN,4,4,6,3,7,7,5,3,5,5,6,5,7,7,7,6,6,6,2,3,7,6,3,2,2,2,2,2,2,2,2,2,2,2,3,65,7,3,4
23/01/2021 14:48,23/01/2021 14:55,0,100,443,1,23/01/2021 14:55,R_RVbgkG6zl0dlIo9,anonymous,EN,4,2,6,6,6,5,7,4,7,5,6,7,6,6,7,6,4,5,4,3,4,4,5,1,1,1,2,2,2,2,2,2,2,1,3,9,5,1,3
23/01/2021 14:48,23/01/2021 14:56,0,100,487,1,23/01/2021 14:56,R_12ukOkWo35EkGC0,anonymous,EN,4,5,7,7,7,7,7,7,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,1,3,9,5,1,4
23/01/2021 14:53,23/01/2021 15:01,0,100,487,1,23/01/2021 15:01,R_1pQdBe1iQ0yBGEW,anonymous,EN,4,4,6,6,4,7,5,6,6,5,7,7,7,7,7,5,4,5,6,6,6,6,6,1,1,1,2,2,2,2,2,2,2,1,2,65,4,4,4
23/01/2021 14:59,23/01/2021 15:07,0,100,488,1,23/01/2021 15:07,R_3MldsNbkG9AYD8R,anonymous,EN,4,2,6,6,7,3,7,5,7,5,7,5,5,7,6,7,6,7,6,6,7,7,6,1,1,1,1,2,2,2,2,2,2,2,3,185,6,1,6
23/01/2021 14:58,23/01/2021 15:14,0,100,955,1,23/01/2021 15:14,R_27PBWxJUHzskPXt,anonymous,EN,4,5,7,7,7,7,7,6,7,6,7,7,5,6,6,7,4,6,4,6,6,3,6,1,1,1,1,1,2,2,2,2,2,1,4,9,7,1,6
23/01/2021 15:11,23/01/2021 15:25,0,100,827,1,23/01/2021 15:25,R_2tDMHd08rQpyL1q,anonymous,EN,4,2,7,2,7,6,7,2,7,4,7,4,7,5,3,5,4,5,3,6,3,4,3,2,2,2,2,2,2,2,2,2,2,1,4,9,6,1,4
23/01/2021 15:25,23/01/2021 15:34,0,100,500,1,23/01/2021 15:34,R_6fIWHUKJYjJLUNX,anonymous,EN,4,2,6,5,6,4,3,5,7,6,6,6,7,1,2,6,6,5,2,2,3,5,5,1,1,1,1,1,2,2,2,2,2,4,3,9,7,1,6
23/01/2021 15:25,23/01/2021 15:34,0,100,549,1,23/01/2021 15:34,R_26kDOEth08Of5Pt,anonymous,EN,4,2,6,6,6,7,6,7,5,5,6,6,6,6,6,5,7,5,4,3,5,6,5,1,1,1,1,1,1,2,2,2,2,2,2,65,4,4,1
23/01/2021 15:30,23/01/2021 15:39,0,100,537,1,23/01/2021 15:39,R_sbrYPMdglwKQzGV,anonymous,EN,4,4,7,5,6,5,6,7,7,6,6,6,7,2,6,6,6,6,4,5,6,5,5,1,1,1,1,1,1,2,2,2,2,2,3,65,8,3,3
23/01/2021 15:39,23/01/2021 15:48,0,100,563,1,23/01/2021 15:48,R_333eKPh4U3slHKP,anonymous,EN,4,2,7,7,7,7,7,7,7,7,5,6,7,3,0,5,5,5,1,1,4,6,5,1,1,1,1,1,2,2,2,2,2,2,3,9,7,2,6
23/01/2021 16:26,23/01/2021 16:41,0,100,868,1,23/01/2021 16:41,R_3e2Inu2dUaMQbuv,anonymous,EN,4,2,5,2,6,3,6,5,6,5,6,5,7,6,2,3,2,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,2,2,6,9,7,5,3
23/01/2021 16:57,23/01/2021 17:06,0,100,581,1,23/01/2021 17:06,R_2QtftNmIg56iDdb,anonymous,EN,4,4,6,5,7,4,6,7,6,5,7,3,6,2,3,3,2,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,187,7,1,2
23/01/2021 15:15,23/01/2021 17:28,0,100,7972,1,23/01/2021 17:28,R_3EKoeqTBmHs9VXH,anonymous,EN,4,4,7,5,5,4,6,5,5,5,5,6,5,4,5,6,5,5,5,5,5,4,5,1,1,1,1,2,1,2,2,1,2,2,3,9,7,1,5
23/01/2021 14:29,23/01/2021 17:51,0,100,12172,1,23/01/2021 17:51,R_1hL26Q2X7XJGsuY,anonymous,EN,4,2,7,7,7,4,5,6,7,5,6,7,5,6,4,5,5,6,3,3,2,4,5,1,1,2,2,2,2,2,2,2,2,1,2,9,6,1,6
23/01/2021 18:08,23/01/2021 18:15,0,100,436,1,23/01/2021 18:15,R_21FoaXOZAX5lM2P,anonymous,EN,4,2,5,4,6,5,6,6,6,6,4,6,6,2,3,5,3,5,5,5,2,3,3,1,1,1,1,2,2,2,2,2,2,1,3,9,6,1,6
23/01/2021 18:30,23/01/2021 18:40,0,100,629,1,23/01/2021 18:40,R_2bO9BkMP4dy7cD7,anonymous,EN,4,4,4,5,3,6,1,1,6,5,3,5,3,2,6,6,5,5,4,6,4,6,4,1,1,1,1,2,2,1,2,2,2,2,2,10,6,4,1
23/01/2021 18:51,23/01/2021 19:01,0,100,589,1,23/01/2021 19:01,R_SBsCgnTjPLv9i8N,anonymous,EN,4,4,6,6,6,6,6,6,6,6,6,7,5,6,4,6,6,7,5,4,6,6,6,1,1,1,1,1,1,1,1,1,2,1,3,9,6,2,6
23/01/2021 19:10,23/01/2021 19:18,0,100,481,1,23/01/2021 19:18,R_xoAz1v9mSBaUq5j,anonymous,EN,4,2,6,4,7,6,7,5,3,2,6,4,6,5,2,5,3,4,6,3,3,6,6,1,1,1,1,2,1,2,2,2,2,2,3,9,6,2,4
23/01/2021 19:57,23/01/2021 20:11,0,100,866,1,23/01/2021 20:11,R_27WmFAjUXFkyNpx,anonymous,EN,4,2,6,3,7,5,7,5,7,2,7,3,6,3,2,5,3,3,2,2,2,3,3,1,1,1,2,2,2,2,2,2,2,2,3,9,6,1,4
23/01/2021 20:04,23/01/2021 20:28,0,100,1426,1,23/01/2021 20:28,R_1k1cKvKGpSLehwa,anonymous,EN,4,2,7,4,7,5,6,6,7,5,6,4,7,2,4,0,0,0,2,4,1,2,4,1,1,1,1,1,1,2,2,2,2,2,6,9,6,5,3
23/01/2021 20:47,23/01/2021 20:57,0,100,576,1,23/01/2021 20:57,R_2tbzfK10z5lH0Hw,anonymous,EN,4,5,6,6,6,6,4,4,6,6,6,6,4,4,2,6,6,6,6,5,6,6,5,1,1,1,2,1,2,2,2,2,2,2,3,9,6,1,6
23/01/2021 21:53,23/01/2021 21:58,0,100,326,1,23/01/2021 21:58,R_2SADFflGI2Alu0J,anonymous,EN,4,2,5,5,6,6,6,7,3,7,7,3,6,3,0,4,3,4,0,3,2,4,3,1,1,1,1,2,2,2,2,2,2,2,2,65,7,1,4
24/01/2021 0:34,24/01/2021 0:41,0,100,420,1,24/01/2021 0:41,R_1Ag9k9UxUPa1v57,anonymous,EN,4,4,6,6,7,4,6,6,7,3,6,6,7,5,6,6,6,6,5,3,6,4,6,1,1,1,1,2,2,2,2,2,2,2,3,9,6,1,6
24/01/2021 1:06,24/01/2021 1:18,0,100,747,1,24/01/2021 1:18,R_1ojvuM3TLEZctHJ,anonymous,EN,4,4,7,5,4,6,6,6,6,4,4,6,6,3,4,5,6,5,3,3,4,5,4,1,1,1,2,2,2,2,2,2,2,2,3,65,7,1,6
24/01/2021 1:16,24/01/2021 1:24,0,100,445,1,24/01/2021 1:24,R_2pKwDxlJVNmmXf6,anonymous,EN,4,4,5,5,5,6,6,5,5,6,6,7,5,7,2,7,4,6,5,4,4,5,6,1,1,1,1,2,1,1,1,2,2,1,3,9,6,1,6
23/01/2021 23:32,24/01/2021 1:33,0,100,7239,1,24/01/2021 1:33,R_z2LiIRctQUoSvHX,anonymous,EN,4,2,6,5,6,3,6,6,6,3,6,2,6,5,6,6,4,6,6,5,4,6,4,1,1,1,1,1,1,1,1,1,2,1,3,9,7,2,6
24/01/2021 1:41,24/01/2021 1:53,0,100,719,1,24/01/2021 1:53,R_334mmdcSXiOlQlU,anonymous,EN,4,4,6,7,6,5,5,3,5,5,6,6,6,6,6,4,6,6,6,3,4,5,5,1,1,1,1,2,2,2,2,2,2,2,2,65,6,4,6
24/01/2021 1:36,24/01/2021 2:01,0,100,1464,1,24/01/2021 2:01,R_2DNYfjAwgJoy5Im,anonymous,EN,4,4,6,3,3,6,2,6,6,3,6,2,7,1,5,6,6,6,6,3,6,0,3,2,2,2,2,2,2,2,2,2,2,2,6,168,6,5,4
24/01/2021 2:05,24/01/2021 2:13,0,100,484,1,24/01/2021 2:13,R_3qsyx2n5l9qIegu,anonymous,EN,4,4,5,4,6,2,1,1,4,1,7,5,4,2,1,7,5,5,5,5,2,4,5,1,1,1,1,2,2,2,2,2,2,1,3,9,6,1,6
24/01/2021 3:26,24/01/2021 3:40,0,100,866,1,24/01/2021 3:40,R_2uZZGPQArY6ra4d,anonymous,EN,4,2,7,7,7,7,7,7,7,7,7,5,5,5,2,6,6,5,5,3,6,6,5,1,1,1,1,1,1,1,1,2,2,1,3,9,7,1,3
24/01/2021 3:32,24/01/2021 3:42,0,100,614,1,24/01/2021 3:42,R_2QzUgZ1B6mMBxba,anonymous,EN,4,2,7,5,6,5,5,5,7,2,5,6,5,2,5,5,5,7,0,3,7,7,5,1,1,1,1,2,2,2,2,2,2,2,2,65,5,4,5
24/01/2021 3:43,24/01/2021 3:50,0,100,445,1,24/01/2021 3:50,R_BG54gFq1TAvlMUp,anonymous,EN,4,4,6,5,7,1,6,5,6,5,6,6,6,2,5,5,3,5,3,3,6,7,3,1,1,1,1,1,1,1,2,2,2,1,4,65,7,1,6
24/01/2021 3:44,24/01/2021 3:53,0,100,512,1,24/01/2021 3:53,R_1LInrprp2LhJZXo,anonymous,EN,4,2,7,5,7,1,6,1,7,1,6,5,7,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,9,4,1,6
24/01/2021 3:47,24/01/2021 3:53,0,100,342,1,24/01/2021 3:53,R_1GPnZI1w9bYy8FB,anonymous,EN,4,4,5,6,7,1,7,4,7,2,7,4,7,1,6,5,6,5,4,4,5,5,5,1,1,1,1,1,1,1,2,2,2,1,4,9,6,1,6
24/01/2021 4:26,24/01/2021 4:37,0,100,653,1,24/01/2021 4:37,R_Rae0dZ0Cg0AqEi5,anonymous,EN,4,4,3,1,5,2,7,3,7,3,4,2,6,3,5,5,5,5,3,3,7,5,3,2,2,2,2,1,1,1,1,2,2,2,3,65,7,1,4
24/01/2021 4:36,24/01/2021 4:43,0,100,412,1,24/01/2021 4:43,R_08H17JVrdjLVkiZ,anonymous,EN,4,4,6,4,6,2,6,5,6,4,6,6,6,6,5,5,5,5,4,3,5,5,5,1,1,1,1,2,2,2,2,2,2,1,2,9,6,1,6
24/01/2021 4:59,24/01/2021 5:05,0,100,379,1,24/01/2021 5:05,R_ZEuJvT7vLEkBweR,anonymous,EN,4,4,6,5,7,5,6,5,7,3,6,6,6,5,1,5,3,5,1,0,2,4,3,1,1,1,1,2,2,2,2,2,2,1,3,185,6,2,6
24/01/2021 5:16,24/01/2021 5:23,0,100,421,1,24/01/2021 5:23,R_2aqqIHpAth7dEU0,anonymous,EN,4,2,6,6,6,6,6,7,6,5,5,7,5,5,0,6,0,6,5,2,2,3,6,1,1,2,2,2,2,2,2,2,2,2,4,65,6,5,6
24/01/2021 5:31,24/01/2021 5:38,0,100,413,1,24/01/2021 5:38,R_0rDeBrd53ZypSHT,anonymous,EN,4,2,6,5,4,5,6,6,5,3,4,7,4,3,5,5,4,5,4,3,4,5,6,1,1,1,2,1,2,2,1,1,1,1,2,187,6,1,6
24/01/2021 6:01,24/01/2021 6:17,0,100,935,1,24/01/2021 6:17,R_29Wp7XMaQlhJpFn,anonymous,EN,4,4,7,5,6,6,6,5,6,5,6,5,6,6,2,5,7,5,4,6,3,3,4,1,1,1,1,1,1,1,2,2,2,1,5,9,4,1,3
24/01/2021 6:09,24/01/2021 6:20,0,100,624,1,24/01/2021 6:20,R_1MQJL76RJ6zVTjM,anonymous,EN,4,4,5,5,3,7,7,2,7,2,7,6,7,7,7,7,7,7,6,6,7,7,7,1,1,1,1,2,2,2,2,2,2,1,2,31,7,1,6
24/01/2021 6:25,24/01/2021 6:30,0,100,261,1,24/01/2021 6:30,R_3h0wFQk2dER1F3n,anonymous,EN,4,4,7,4,5,3,4,4,4,4,7,6,7,2,5,5,4,4,3,6,4,6,3,1,1,1,1,1,1,1,2,2,2,1,3,9,7,1,6
