StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28
23/01/2021 14:59,23/01/2021 15:07,IP Address,100,488,TRUE,23/01/2021 15:07,R_3MldsNbkG9AYD8R,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,acceptable,totally acceptable,somewhat not acceptable,totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,somewhat acceptable,totally acceptable,agree,strongly agree,agree,strongly agree,disagree,disagree,strongly agree,strongly agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,United Kingdom,Bachelor,Employed,"more than 5,000 Euro"
23/01/2021 14:58,23/01/2021 15:14,IP Address,100,955,TRUE,23/01/2021 15:14,R_27PBWxJUHzskPXt,anonymous,EN,I have read the above information and agree to participate in the survey,"Very familiar (I know what it is, how it works and would be able to explain many areas in which Artificial Intelligence could be used)",totally acceptable,totally acceptable,totally acceptable,totally acceptable,totally acceptable,acceptable,totally acceptable,acceptable,totally acceptable,totally acceptable,somewhat acceptable,acceptable,agree,strongly agree,neutral,agree,neutral,disagree,agree,somewhat disagree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,45-54,Australia,Master / diploma,Employed,"more than 5,000 Euro"
23/01/2021 15:11,23/01/2021 15:25,IP Address,100,827,TRUE,23/01/2021 15:25,R_2tDMHd08rQpyL1q,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,not acceptable,totally acceptable,acceptable,totally acceptable,not acceptable,totally acceptable,neutral,totally acceptable,neutral,totally acceptable,somewhat acceptable,somewhat disagree,somewhat agree,neutral,somewhat agree,somewhat agree,disagree,somewhat disagree,neutral,somewhat disagree,(B) a 10% chance of getting 3.85€ and a 90% chance of getting 0.10€,(B) a 20% chance of getting 3.85€ and a 80% chance of getting 0.10€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,45-54,Australia,Bachelor,Employed,"2,601 - 3,600 Euro"
23/01/2021 15:25,23/01/2021 15:34,IP Address,100,500,TRUE,23/01/2021 15:34,R_6fIWHUKJYjJLUNX,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,somewhat acceptable,acceptable,neutral,somewhat not acceptable,somewhat acceptable,totally acceptable,acceptable,acceptable,acceptable,totally acceptable,not at all acceptable,disagree,agree,agree,somewhat agree,agree,agree,somewhat disagree,somewhat agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Prefer not to say,35-44,Australia,Master / diploma,Employed,"more than 5,000 Euro"
23/01/2021 15:25,23/01/2021 15:34,IP Address,100,549,TRUE,23/01/2021 15:34,R_26kDOEth08Of5Pt,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,acceptable,acceptable,totally acceptable,acceptable,totally acceptable,somewhat acceptable,somewhat acceptable,acceptable,acceptable,acceptable,acceptable,agree,somewhat agree,strongly agree,somewhat agree,neutral,somewhat agree,somewhat agree,agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,Germany,"Upper secondary school-leaving certificate (Abitur, Fach-/Hochschulreife)",Student,"under 1,300 Euro"
23/01/2021 15:30,23/01/2021 15:39,IP Address,100,537,TRUE,23/01/2021 15:39,R_sbrYPMdglwKQzGV,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",totally acceptable,somewhat acceptable,acceptable,somewhat acceptable,acceptable,totally acceptable,totally acceptable,acceptable,acceptable,acceptable,totally acceptable,not acceptable,agree,agree,agree,agree,neutral,somewhat disagree,agree,somewhat agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Doctorate / PhD,Not Employed,"1,701 - 2,600 Euro"
23/01/2021 15:39,23/01/2021 15:48,IP Address,100,563,TRUE,23/01/2021 15:48,R_333eKPh4U3slHKP,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,totally acceptable,totally acceptable,totally acceptable,totally acceptable,totally acceptable,totally acceptable,totally acceptable,somewhat acceptable,acceptable,totally acceptable,somewhat not acceptable,Don't know,somewhat agree,somewhat agree,somewhat agree,strongly agree,strongly agree,neutral,agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Master / diploma,Self-Employed,"more than 5,000 Euro"
23/01/2021 16:26,23/01/2021 16:41,IP Address,100,868,TRUE,23/01/2021 16:41,R_3e2Inu2dUaMQbuv,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,not acceptable,acceptable,somewhat not acceptable,acceptable,somewhat acceptable,acceptable,somewhat acceptable,acceptable,somewhat acceptable,totally acceptable,acceptable,disagree,somewhat disagree,disagree,disagree,agree,strongly agree,disagree,strongly disagree,disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,65+,Australia,Master / diploma,Retired,"1,701 - 2,600 Euro"
23/01/2021 16:57,23/01/2021 17:06,IP Address,100,581,TRUE,23/01/2021 17:06,R_2QtftNmIg56iDdb,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,somewhat acceptable,totally acceptable,neutral,acceptable,totally acceptable,acceptable,somewhat acceptable,totally acceptable,somewhat not acceptable,acceptable,not acceptable,somewhat disagree,somewhat disagree,disagree,disagree,agree,agree,somewhat disagree,somewhat disagree,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,United States,Master / diploma,Employed,"1,301 - 1,700 Euro"
23/01/2021 15:15,23/01/2021 17:28,IP Address,100,7972,TRUE,23/01/2021 17:28,R_3EKoeqTBmHs9VXH,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",totally acceptable,somewhat acceptable,somewhat acceptable,neutral,acceptable,somewhat acceptable,somewhat acceptable,somewhat acceptable,somewhat acceptable,acceptable,somewhat acceptable,neutral,somewhat agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat agree,neutral,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(A) a 90% chance of getting 2€ and a 10% chance of getting 1.60€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Master / diploma,Employed,"3,601 - 5,000 Euro"
23/01/2021 14:29,23/01/2021 17:51,IP Address,100,12172,TRUE,23/01/2021 17:51,R_1hL26Q2X7XJGsuY,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,totally acceptable,totally acceptable,neutral,somewhat acceptable,acceptable,totally acceptable,somewhat acceptable,acceptable,totally acceptable,somewhat acceptable,acceptable,neutral,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,disagree,neutral,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,21-34,Australia,Bachelor,Employed,"more than 5,000 Euro"
23/01/2021 18:08,23/01/2021 18:15,IP Address,100,436,TRUE,23/01/2021 18:15,R_21FoaXOZAX5lM2P,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,neutral,acceptable,somewhat acceptable,acceptable,acceptable,acceptable,acceptable,neutral,acceptable,acceptable,not acceptable,somewhat disagree,somewhat agree,somewhat disagree,somewhat agree,somewhat disagree,somewhat disagree,disagree,somewhat disagree,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Bachelor,Employed,"more than 5,000 Euro"
23/01/2021 18:30,23/01/2021 18:40,IP Address,100,629,TRUE,23/01/2021 18:40,R_2bO9BkMP4dy7cD7,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",neutral,somewhat acceptable,somewhat not acceptable,acceptable,not at all acceptable,not at all acceptable,acceptable,somewhat acceptable,somewhat not acceptable,somewhat acceptable,somewhat not acceptable,not acceptable,agree,agree,somewhat agree,somewhat agree,neutral,disagree,neutral,agree,neutral,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,Austria,Bachelor,Student,"under 1,300 Euro"
23/01/2021 18:51,23/01/2021 19:01,IP Address,100,589,TRUE,23/01/2021 19:01,R_SBsCgnTjPLv9i8N,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,acceptable,neutral,agree,agree,strongly agree,somewhat disagree,neutral,agree,agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(A) a 90% chance of getting 2€ and a 10% chance of getting 1.60€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Bachelor,Self-Employed,"more than 5,000 Euro"
23/01/2021 19:10,23/01/2021 19:18,IP Address,100,481,TRUE,23/01/2021 19:18,R_xoAz1v9mSBaUq5j,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,neutral,totally acceptable,acceptable,totally acceptable,somewhat acceptable,somewhat not acceptable,not acceptable,acceptable,neutral,acceptable,somewhat acceptable,disagree,somewhat agree,somewhat disagree,neutral,disagree,somewhat agree,somewhat disagree,agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Bachelor,Self-Employed,"2,601 - 3,600 Euro"
23/01/2021 19:57,23/01/2021 20:11,IP Address,100,866,TRUE,23/01/2021 20:11,R_27WmFAjUXFkyNpx,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,somewhat not acceptable,totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,totally acceptable,not acceptable,totally acceptable,somewhat not acceptable,acceptable,somewhat not acceptable,disagree,somewhat agree,somewhat disagree,somewhat disagree,agree,agree,disagree,somewhat disagree,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Bachelor,Employed,"2,601 - 3,600 Euro"
23/01/2021 20:04,23/01/2021 20:28,IP Address,100,1426,TRUE,23/01/2021 20:28,R_1k1cKvKGpSLehwa,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,neutral,totally acceptable,somewhat acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,acceptable,neutral,totally acceptable,not acceptable,neutral,Don't know,Don't know,Don't know,agree,neutral,strongly disagree,disagree,neutral,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,65+,Australia,Bachelor,Retired,"1,701 - 2,600 Euro"
23/01/2021 20:47,23/01/2021 20:57,IP Address,100,576,TRUE,23/01/2021 20:57,R_2tbzfK10z5lH0Hw,anonymous,EN,I have read the above information and agree to participate in the survey,"Very familiar (I know what it is, how it works and would be able to explain many areas in which Artificial Intelligence could be used)",acceptable,acceptable,acceptable,acceptable,neutral,neutral,acceptable,acceptable,acceptable,acceptable,neutral,neutral,disagree,agree,agree,agree,disagree,somewhat disagree,agree,agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Bachelor,Employed,"more than 5,000 Euro"
23/01/2021 21:53,23/01/2021 21:58,IP Address,100,326,TRUE,23/01/2021 21:58,R_2SADFflGI2Alu0J,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,somewhat acceptable,acceptable,acceptable,acceptable,totally acceptable,somewhat not acceptable,totally acceptable,totally acceptable,somewhat not acceptable,acceptable,somewhat not acceptable,Don't know,neutral,somewhat disagree,neutral,Don't know,somewhat agree,disagree,neutral,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,Germany,Master / diploma,Employed,"2,601 - 3,600 Euro"
24/01/2021 0:34,24/01/2021 0:41,IP Address,100,420,TRUE,24/01/2021 0:41,R_1Ag9k9UxUPa1v57,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,acceptable,totally acceptable,neutral,acceptable,acceptable,totally acceptable,somewhat not acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,agree,agree,agree,agree,somewhat disagree,somewhat agree,agree,neutral,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Bachelor,Employed,"more than 5,000 Euro"
24/01/2021 1:06,24/01/2021 1:18,IP Address,100,747,TRUE,24/01/2021 1:18,R_1ojvuM3TLEZctHJ,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",totally acceptable,somewhat acceptable,neutral,acceptable,acceptable,acceptable,acceptable,neutral,neutral,acceptable,acceptable,somewhat not acceptable,neutral,somewhat agree,agree,somewhat agree,somewhat agree,somewhat agree,neutral,somewhat agree,neutral,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Master / diploma,Employed,"more than 5,000 Euro"
24/01/2021 1:16,24/01/2021 1:24,IP Address,100,445,TRUE,24/01/2021 1:24,R_2pKwDxlJVNmmXf6,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",somewhat acceptable,somewhat acceptable,somewhat acceptable,acceptable,acceptable,somewhat acceptable,somewhat acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,totally acceptable,disagree,strongly agree,neutral,agree,somewhat disagree,neutral,neutral,somewhat agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Bachelor,Employed,"more than 5,000 Euro"
